Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,510
design__inferred_latch__count,0
design__instance__count,82393
design__instance__area,9.68327E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,165
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,166
design__max_cap_violation__count__corner:nom_tt_025C_1v80,9
power__internal__total,0.0012786784209311008
power__switching__total,0.0007942099473439157
power__leakage__total,1.9098669667982904E-7
power__total,0.0020730793476104736
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.0203173039698579
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7850136873849461
timing__hold__ws__corner:nom_tt_025C_1v80,1.4502597311328416
timing__setup__ws__corner:nom_tt_025C_1v80,31.147529881376
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.450260
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,31.147530
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,386
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,166
design__max_cap_violation__count__corner:nom_ss_100C_1v60,16
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.6784232256886964
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.271501717681601
timing__hold__ws__corner:nom_ss_100C_1v60,2.94095711663526
timing__setup__ws__corner:nom_ss_100C_1v60,23.413749823890868
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.940957
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,23.413750
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,118
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,166
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,5
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.701601352429318
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.5779898945276994
timing__hold__ws__corner:nom_ff_n40C_1v95,0.9489241883075971
timing__setup__ws__corner:nom_ff_n40C_1v95,33.95236898840583
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.948924
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,33.952370
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,800
design__max_fanout_violation__count,166
design__max_cap_violation__count,18
clock__skew__worst_hold,-0.6370329999370503
clock__skew__worst_setup,0.5312823664715302
timing__hold__ws,0.9404965961116214
timing__setup__ws,22.651349881356012
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.940497
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,22.651350
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 3166.63 4766.63
design__core__bbox,40.02 40.8 3126.62 4724.64
design__io,887
design__die__area,1.50942E+7
design__core__area,1.44571E+7
design__instance__count__stdcell,82389
design__instance__area__stdcell,191664
design__instance__count__macros,4
design__instance__area__macros,9.49161E+6
design__instance__utilization,0.669792
design__instance__utilization__stdcell,0.0385989
design__instance__count__class:macro,4
design__instance__count__class:buffer,559
design__instance__count__class:inverter,33
design__instance__count__class:sequential_cell,869
design__instance__count__class:multi_input_combinational_cell,1864
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,475207
design__instance__count__class:tap_cell,68517
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.40079E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,3700
design__instance__count__class:clock_buffer,90
design__instance__count__class:clock_inverter,57
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,24
antenna__violating__pins,27
route__antenna_violation__count,24
design__instance__count__class:antenna_cell,6700
antenna_diodes_count,329
route__net,7530
route__net__special,14
route__drc_errors__iter:1,11093
route__wirelength__iter:1,1579177
route__drc_errors__iter:2,4170
route__wirelength__iter:2,1572981
route__drc_errors__iter:3,3707
route__wirelength__iter:3,1571667
route__drc_errors__iter:4,386
route__wirelength__iter:4,1577749
route__drc_errors__iter:5,97
route__wirelength__iter:5,1576207
route__drc_errors__iter:6,5
route__wirelength__iter:6,1576037
route__drc_errors__iter:7,1
route__wirelength__iter:7,1576039
route__drc_errors__iter:8,0
route__wirelength__iter:8,1576042
route__drc_errors,0
route__wirelength,1576042
route__vias,64971
route__vias__singlecut,64971
route__vias__multicut,0
design__disconnected_pin__count,154
design__critical_disconnected_pin__count,0
route__wirelength__max,9173.72
timing__unannotated_net__count__corner:nom_tt_025C_1v80,217
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,217
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,217
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,113
design__max_fanout_violation__count__corner:min_tt_025C_1v80,166
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.940763382711984
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.7238199688937704
timing__hold__ws__corner:min_tt_025C_1v80,1.4443486815379565
timing__setup__ws__corner:min_tt_025C_1v80,31.692136034742877
timing__hold__tns__corner:min_tt_025C_1v80,0.0
